region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA20110,2071,31,35,24,0,2161,1312,18,8,18,0,1356,368,54,40,4,0,466,53,5,27,0,0,85,345,12,38,11,3,409,8,0,0,0,0,8,38,0,5,6,4,53,54,0,3,0,0,57,866,71,113,21,7,1078,32,0,0,3,0,35,91,8,9,3,0,111,4372,128,165,69,7,4741
LGA20260,1910,17,33,12,0,1972,1224,8,12,7,0,1251,319,24,57,3,0,403,97,8,39,0,0,144,247,10,17,3,0,277,8,4,3,0,0,15,49,0,0,7,0,56,44,0,4,0,0,48,764,46,120,13,0,943,32,0,5,0,0,37,116,0,10,3,0,129,4046,71,180,35,0,4332
LGA20570,10866,464,443,74,0,11847,11671,270,230,22,3,12196,4234,803,1184,6,3,6230,1011,215,366,5,0,1597,1615,128,195,13,3,1954,137,62,73,0,0,272,176,28,37,39,0,280,128,17,23,3,0,171,7301,1253,1878,66,6,10504,161,68,26,0,0,255,705,92,138,5,3,943,30704,2147,2715,167,12,35745
LGA20660,15331,1001,658,8,0,16998,13071,1220,757,5,6,15059,3335,1305,1425,20,3,6088,873,348,492,0,0,1713,1271,290,302,12,0,1875,119,37,96,0,0,252,268,21,18,3,0,310,132,18,21,0,0,171,5998,2019,2354,35,3,10409,215,27,24,0,0,266,763,95,105,3,0,966,35378,4362,3898,51,9,43698
LGA20740,4691,218,122,51,4,5086,3191,54,32,10,7,3294,1498,88,133,0,0,1719,71,73,92,0,0,236,705,42,35,9,0,791,17,18,13,3,0,51,95,13,16,30,0,154,84,3,13,3,0,103,2470,237,302,45,0,3054,65,14,0,3,0,82,286,18,26,13,0,343,10703,541,482,122,11,11859
LGA20830,5679,388,130,62,0,6259,5741,164,34,8,0,5947,1222,215,175,6,3,1621,221,53,98,0,0,372,794,62,50,22,0,928,17,19,8,0,0,44,109,8,7,47,0,171,103,9,6,0,0,118,2466,366,344,75,3,3254,81,17,6,4,0,108,344,32,21,15,0,412,14311,967,535,164,3,15980
LGA20910,10661,2087,1260,15,3,14026,8518,1545,896,21,5,10985,2060,1097,1349,39,3,4548,177,258,443,3,0,881,793,331,350,25,5,1504,18,10,71,0,0,99,54,12,23,3,5,97,105,29,33,3,0,170,3207,1737,2269,73,13,7299,114,54,79,0,0,247,443,124,143,4,0,714,22943,5547,4647,113,21,33271
LGA21010,2163,62,41,23,0,2289,1665,17,13,9,0,1704,460,108,139,0,0,707,191,44,31,0,0,266,240,17,19,10,0,286,0,4,3,0,0,7,16,3,3,3,0,25,39,3,6,0,0,48,946,179,201,13,0,1339,36,24,7,0,0,67,104,21,15,3,0,143,4914,303,277,48,0,5542
LGA21110,17737,2888,2353,18,5,23001,12483,2119,2072,23,7,16704,3517,2214,5737,98,11,11577,133,60,350,0,0,543,1299,628,1145,70,3,3145,53,75,179,0,0,307,76,41,78,12,0,207,161,68,95,3,0,327,5239,3086,7584,183,14,16106,202,47,90,0,0,339,615,163,296,8,0,1082,36276,8303,12395,232,26,57232
LGA21180,20160,681,583,12,0,21436,19263,851,834,5,3,20956,5133,733,1768,21,7,7662,891,115,255,0,0,1261,2635,268,503,15,5,3426,108,21,48,0,0,177,507,58,119,31,0,715,279,16,45,4,3,347,9553,1211,2738,71,15,13588,245,63,38,3,0,349,2081,128,233,0,0,2442,51302,2934,4426,91,18,58771
LGA21270,1419,16,7,17,0,1459,580,6,0,5,0,591,56,3,11,3,0,73,31,13,13,0,0,57,193,3,5,0,0,201,3,3,7,0,0,13,58,0,8,3,0,69,36,0,0,0,0,36,377,22,44,6,0,449,29,3,0,0,0,32,75,3,4,3,0,85,2480,50,55,31,0,2616
LGA21370,4998,77,232,74,3,5384,4401,38,63,18,3,4523,1072,123,321,3,4,1523,319,117,144,0,0,580,704,30,73,11,0,818,45,8,39,0,0,92,154,6,15,37,0,212,128,0,12,3,0,143,2422,284,604,54,4,3368,65,5,46,0,0,116,325,11,66,5,0,407,12211,415,1011,151,10,13798
LGA21450,6042,208,282,67,3,6602,12213,206,77,7,3,12506,2819,389,152,9,0,3369,172,92,15,0,3,282,990,67,39,27,0,1123,32,3,12,0,0,47,114,5,7,61,0,187,117,7,3,8,0,135,4244,563,228,105,3,5143,113,8,165,4,0,290,413,43,34,6,0,496,23025,1028,786,189,9,25037
LGA21610,17839,818,706,34,3,19400,40634,1468,602,6,0,42710,8347,768,929,6,3,10053,1163,76,311,3,5,1558,2957,170,207,5,0,3339,83,15,36,0,0,134,273,19,27,72,0,391,257,14,20,5,0,296,13080,1062,1530,91,8,15771,365,88,106,5,0,564,1735,118,170,4,0,2027,73653,3554,3114,140,11,80472
LGA21670,2287,45,62,53,0,2447,1413,10,12,14,0,1449,374,25,63,10,0,472,107,41,31,0,0,179,288,13,23,9,0,333,16,3,21,0,0,40,33,3,3,6,0,45,25,3,3,0,0,31,843,88,144,25,0,1100,28,0,10,0,0,38,181,15,12,8,0,216,4752,158,240,100,0,5250
