objectid,lga_code_2022,lga_name_2022,area_albers_sqkm,asgs_loci_uri_2022,psh_dwl_1415,psh_val_1415,pxh_dwl_1415,pxh_val_1415,ptot_dwl_1415,pdwl_val_1415,totdwl_dwl_1415,totdwl_val_1415,nonres_val_1415,res_val_1415,tbld_val_1415,psh_dwl_1516,psh_val_1516,pxh_dwl_1516,pxh_val_1516,ptot_dwl_1516,pdwl_val_1516,totdwl_dwl_1516,totdwl_val_1516,nonres_val_1516,res_val_1516,tbld_val_1516,psh_dwl_1617,psh_val_1617,pxh_dwl_1617,pxh_val_1617,ptot_dwl_1617,pdwl_val_1617,totdwl_dwl_1617,totdwl_val_1617,nonres_val_1617,res_val_1617,tbld_val_1617,psh_dwl_1718,psh_val_1718,pxh_dwl_1718,pxh_val_1718,ptot_dwl_1718,pdwl_val_1718,totdwl_dwl_1718,totdwl_val_1718,nonres_val_1718,res_val_1718,tbld_val_1718,psh_dwl_1819,psh_val_1819,pxh_dwl_1819,pxh_val_1819,ptot_dwl_1819,pdwl_val_1819,totdwl_dwl_1819,totdwl_val_1819,nonres_val_1819,res_val_1819,tbld_val_1819,psh_dwl_1920,psh_val_1920,pxh_dwl_1920,pxh_val_1920,ptot_dwl_1920,pdwl_val_1920,totdwl_dwl_1920,totdwl_val_1920,nonres_val_1920,res_val_1920,tbld_val_1920,psh_dwl_2021,psh_val_2021,pxh_dwl_2021,pxh_val_2021,ptot_dwl_2021,pdwl_val_2021,totdwl_dwl_2021,totdwl_val_2021,nonres_val_2021,res_val_2021,tbld_val_2021,psh_dwl_2122,psh_val_2122,pxh_dwl_2122,pxh_val_2122,ptot_dwl_2122,pdwl_val_2122,totdwl_dwl_2122,totdwl_val_2122,nonres_val_2122,res_val_2122,tbld_val_2122,psh_dwl_2223,psh_val_2223,pxh_dwl_2223,pxh_val_2223,ptot_dwl_2223,pdwl_val_2223,totdwl_dwl_2223,totdwl_val_2223,nonres_val_2223,res_val_2223,tbld_val_2223,globalid,Shape__Area,Shape__Length
1,10050,Albury,305.6386,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10050,395.0,129.083139,85.0,16.795924,480.0,145.879063,480.0,145.879063,41.631779,145.920287,187.552066,471.0,143.509074,76.0,14.43978,547.0,157.948854,547.0,157.948854,40.366823,157.948854,198.315677,311.0,119.007098,20.0,3.780688,331.0,122.787786,331.0,122.787786,67.909345,122.591636,190.500981,251.0,96.405329,54.0,12.53,305.0,108.935329,305.0,108.935329,25.441167,109.15501,134.596177,301.0,115.224082,31.0,8.157622,332.0,123.381704,332.0,123.381704,20.78893,125.269686,146.058616,348.0,128.88506,47.0,21.335612,395.0,150.220672,395.0,150.269372,46.495757,157.31231,203.808067,542.0,201.307246,23.0,5.389068,565.0,206.696314,569.0,208.659182,80.688033,216.424463,297.112496,366.0,160.041639,42.0,15.858685,408.0,175.900324,408.0,175.900324,59.741523,180.656012,240.397535,359.0,174.255185,48.0,32.497934,407.0,206.753119,411.0,208.124462,84.268541,215.708399,299.97694,b2883f08-58a2-4abf-8e0b-a155013fd00c,0.0305604098057302,1.32176762431458
2,10180,Armidale,7809.4406,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10180,60.0,20.480874,22.0,3.644917,82.0,24.125791,86.0,25.259276,34.646426,25.942037,60.588463,87.0,26.418038,39.0,8.48208,126.0,34.900118,129.0,35.771274,4.696342,36.971565,41.667907,33.0,12.677677,6.0,0.87024,39.0,13.547917,39.0,13.547917,45.815898,14.135558,59.951456,27.0,11.846435,52.0,9.19645,79.0,21.042885,79.0,21.042885,4.702169,22.038535,26.740704,16.0,6.024734,2.0,0.3775,18.0,6.402234,18.0,6.402234,94.995383,7.536386,102.531769,26.0,11.167578,4.0,0.57385,30.0,11.741428,30.0,11.835251,6.857822,13.118049,19.975871,44.0,19.903285,1.0,0.4036,45.0,20.306885,45.0,20.306885,15.14777,21.442295,36.590065,52.0,21.748989,,,52.0,21.748989,62.0,25.392479,45.642445,26.490428,72.132873,81.0,39.444656,20.0,8.530887,101.0,47.975543,109.0,52.68736,27.369326,55.248817,82.618143,0f7d4d6c-14ea-433d-b1e7-6bcfcef725d9,0.732824737156079,6.03458271577024
3,10250,Ballina,484.9692,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10250,255.0,82.959727,65.0,14.223125,320.0,97.182852,322.0,97.647852,17.775109,99.446058,117.221167,301.0,87.500222,66.0,21.457605,367.0,108.957827,367.0,108.957827,49.401386,105.303917,154.705303,255.0,98.573855,83.0,21.339627,338.0,119.913482,338.0,119.913482,14.487967,120.360852,134.848819,188.0,70.798867,32.0,8.120748,220.0,78.919615,220.0,78.934085,78.97365,79.5104,158.48405,319.0,111.003977,52.0,14.088217,371.0,125.092194,371.0,125.422194,68.170473,125.408679,193.579152,258.0,107.211675,175.0,50.570491,433.0,157.782166,433.0,157.782166,29.972638,158.691802,188.66444,293.0,126.298367,67.0,19.649421,360.0,145.947788,361.0,146.164293,22.467189,147.315961,169.78315,204.0,107.443241,68.0,25.018538,272.0,132.461779,272.0,132.625751,20.368206,136.388034,156.75624,219.0,130.033385,91.0,38.809549,310.0,168.842934,310.0,169.498556,33.493855,173.32921,206.823065,29fcc10b-ef23-42a0-8dcf-4fe08620612f,0.0448434369468487,1.51112127170985
4,10300,Balranald,21690.7493,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10300,,,,,,,,,,,,5.0,1.817625,,,5.0,1.817625,5.0,1.817625,0.74085,2.159305,2.900155,,,,,,,,,2.327,0.0322,2.3592,1.0,0.259,,,1.0,0.259,1.0,0.259,0.05,2.210884,2.260884,3.0,1.156939,,,3.0,1.156939,3.0,1.156939,0.57,1.156939,1.726939,4.0,1.858176,,,4.0,1.858176,4.0,1.858176,3.441871,2.003972,5.445843,13.0,4.963523,,,13.0,4.963523,13.0,6.076276,4.538308,6.242627,10.780935,7.0,2.714108,,,7.0,2.714108,7.0,2.714108,7.095106,2.853108,9.948214,2.0,1.114653,,,2.0,1.114653,2.0,1.114653,3.764968,1.340505,5.105473,059b2de0-2d7a-4604-9a82-06cdd9b786d1,2.11552808722536,11.4899119511329
5,10470,Bathurst,3817.8645,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10470,255.0,75.84483,122.0,23.495,377.0,99.33983,377.0,99.38453,61.07567,100.439021,161.514691,304.0,83.28284,85.0,13.50205,389.0,96.78489,412.0,102.34032,35.413361,103.775599,139.18896,307.0,83.544163,100.0,22.150685,407.0,105.694848,411.0,106.666503,53.452544,108.779193,162.231737,219.0,73.68169,71.0,16.147415,290.0,89.829105,290.0,89.829105,22.873966,91.738319,114.612285,191.0,66.12023,28.0,7.2456,219.0,73.36583,219.0,73.36583,146.162933,75.516645,221.679578,216.0,81.475482,78.0,17.264309,294.0,98.739791,296.0,99.468546,20.518636,100.666378,121.185014,309.0,126.854113,44.0,10.381315,353.0,137.235428,354.0,137.992024,35.331455,141.00793,176.339385,204.0,97.452188,43.0,11.206363,247.0,108.658551,247.0,109.04118,48.20838,112.174483,160.382863,113.0,60.406006,49.0,16.910885,162.0,77.316891,162.0,77.661543,44.980852,80.563259,125.544111,7a641757-89be-490f-9749-89c97d95b755,0.370148777416034,5.39511407526542
6,10500,Bayside (NSW),50.6204,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10500,200.0,76.212277,3272.0,905.30738,3472.0,981.519657,3472.0,981.519657,429.872999,984.373104,1414.246103,246.0,105.315595,1930.0,657.231036,2176.0,762.546631,2176.0,762.546631,323.015922,763.28334,1086.299262,247.0,108.732736,3110.0,1033.649485,3357.0,1142.382221,3360.0,1144.00622,339.043159,1146.504985,1485.548144,240.0,107.51872,2316.0,790.115034,2556.0,897.633754,2556.0,897.633754,280.20332,894.426777,1174.630097,182.0,91.111842,2189.0,695.637039,2371.0,786.748881,2371.0,786.748881,382.673863,788.120613,1170.794476,167.0,87.700696,281.0,123.047401,448.0,210.748097,472.0,219.995577,602.35014,227.671116,830.021256,138.0,94.00484,914.0,321.305793,1052.0,415.310633,1069.0,421.43599,265.873987,426.160242,692.034229,160.0,122.666578,575.0,200.94429,735.0,323.610868,739.0,324.846798,439.201764,330.639501,769.841265,132.0,115.918109,672.0,291.987661,804.0,407.90577,804.0,407.90577,579.499802,414.588608,994.08841,c295bffe-f16c-434d-b98b-9ea0ffce0828,0.00493713955120256,0.576414859777446
7,10550,Bega Valley,6278.5013,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10550,168.0,58.941501,20.0,3.9,188.0,62.841501,188.0,62.861501,20.631319,65.254534,85.885853,209.0,71.669197,4.0,0.731,213.0,72.400197,213.0,72.400197,34.048749,74.102714,108.151463,189.0,73.672501,21.0,5.801546,210.0,79.474047,210.0,79.474047,11.279147,80.601526,91.880673,184.0,69.299418,24.0,4.907534,208.0,74.206952,208.0,74.206952,16.477773,77.907653,94.385426,187.0,87.279101,30.0,8.200766,217.0,95.479867,221.0,96.730767,14.901968,99.577168,114.479136,126.0,58.740422,17.0,6.83728,143.0,65.577702,143.0,65.577702,45.006415,67.880652,112.887067,172.0,77.347085,16.0,7.047575,188.0,84.39466,188.0,84.898565,33.257028,85.625567,118.882595,126.0,71.1083,47.0,13.232782,173.0,84.341082,175.0,85.356081,57.192763,90.242078,147.434841,133.0,79.312606,74.0,26.819787,207.0,106.132393,207.0,106.132393,22.52955,108.981602,131.511152,591c9626-e2b8-4acc-a2e4-c2d6ba34cfef,0.634170324692604,6.14082057609557
8,10600,Bellingen,1600.4338,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10600,27.0,7.988072,8.0,1.758,35.0,9.746072,35.0,9.746072,1.907,9.185255,11.092255,23.0,6.287432,3.0,0.485,26.0,6.772432,26.0,6.772432,0.29,7.27845,7.56845,20.0,6.994582,,,20.0,6.994582,20.0,6.994582,1.809024,7.710102,9.519126,33.0,9.740142,,,33.0,9.740142,33.0,9.740142,0.981727,10.235715,11.217442,27.0,9.17207,16.0,3.166,43.0,12.33807,43.0,12.33807,2.179201,12.90487,15.084071,23.0,7.868924,8.0,1.6,31.0,9.468924,31.0,9.468924,6.190959,9.937001,16.12796,14.0,7.316332,15.0,11.06,29.0,18.376332,31.0,19.263858,0.447731,19.674969,20.1227,26.0,10.216729,,,26.0,10.216729,26.0,10.216729,3.576668,11.206366,14.783034,32.0,16.13077,,,32.0,16.13077,32.0,16.13077,8.291786,16.760382,25.052168,18f1df65-4475-4924-8425-21576e7d065b,0.150235002870886,2.31147779771911
9,10650,Berrigan,2065.8878,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10650,45.0,14.706276,,,45.0,14.706276,45.0,14.706276,2.473973,15.458763,17.932736,52.0,17.619714,,,52.0,17.619714,52.0,17.619714,7.251233,18.270168,25.521401,45.0,14.065513,8.0,1.968,53.0,16.033513,56.0,17.059513,7.501393,17.739344,25.240737,38.0,11.816733,1.0,0.48,39.0,12.296733,39.0,12.296733,20.842146,12.457467,33.299613,45.0,15.07406,,,45.0,15.07406,45.0,15.07406,5.677095,16.302212,21.979307,27.0,10.770773,,,27.0,10.770773,27.0,10.770773,3.624944,11.23741,14.862354,33.0,12.322812,,,33.0,12.322812,34.0,13.122812,3.327342,14.128838,17.45618,54.0,20.966621,,,54.0,20.966621,54.0,20.966621,12.178087,22.77694,34.955027,44.0,22.465618,3.0,0.8976,47.0,23.363218,47.0,23.363218,3.899646,24.853166,28.752812,925f60ef-295b-4e6d-8b7b-f710c591e5c5,0.205817890297567,2.91769996684886
10,10750,Blacktown,238.8471,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10750,2488.0,650.623667,873.0,140.616162,3361.0,791.239829,3378.0,796.524729,359.611341,802.681781,1162.293122,2843.0,785.875251,1425.0,302.418356,4268.0,1088.293607,4276.0,1092.046627,525.213443,1094.109138,1619.322581,2997.0,799.206143,1256.0,294.067444,4253.0,1093.273587,4253.0,1094.22377,823.663802,1094.416146,1918.079948,3010.0,809.967875,2307.0,561.479038,5317.0,1371.446913,5317.0,1372.806663,556.801862,1374.975578,1931.77744,3192.0,925.23129,2058.0,528.080776,5250.0,1453.312066,5256.0,1455.771345,776.957267,1453.328567,2230.285834,2863.0,791.242962,1546.0,380.933942,4409.0,1172.176904,4440.0,1181.995634,940.428441,1184.20736,2124.635801,3535.0,1026.393636,3202.0,832.589364,6737.0,1858.983,6762.0,1867.63848,825.482445,1858.210764,2683.693209,2551.0,873.340292,3120.0,883.005934,5671.0,1756.346226,5716.0,1774.876198,888.4685,1778.617057,2667.085557,2084.0,827.772405,2186.0,632.405668,4270.0,1460.178073,4300.0,1472.500376,714.216329,1476.388507,2190.604836,1e16a090-79a8-43d2-9487-7438f2608cf6,0.0232385342424095,0.741290550227582
