Council,Existing Homes,Draft Target
Mornington Peninsula Shire Council,"94,900","31,000"
Frankston City Council,"59,800","36,000"
Greater Dandenong City Council,"59,400","57,000"
Knox City Council,"63,100","47,000"
Maroondah City Council,"48,000","44,000"
Yarra Ranges Shire Council,"62,700","28,000"
Nillumbik Shire Council,"22,700","12,000"
Brimbank City Council,"73,200","72,000"
Wyndham City Council,"109,300","120,000"
Melton City Council,"69,300","132,000"
Hume City Council,"89,400","98,000"
Whittlesea City Council,"88,100","87,000"
Mitchell Shire Council,"21,800","68,000"
Melbourne City Council,"110,100","134,000"
Port Phillip City Council,"65,800","56,000"
Stonnington City Council,"61,400","51,000"
Yarra City Council,"52,600","48,000"
Casey City Council,"131,000","104,000"
Cardinia Shire Council,"46,400","36,000"
Hobsons Bay City Council,"40,600","31,000"
Maribyrnong City Council,"43,100","49,000"
Moonee Valley City Council,"56,900","57,000"
Merri-bek City Council,"81,000","72,000"
Darebin City Council,"70,200","72,000"
Banyule,"54,300","47,000"
Boroondara City Council,"74,600","67,000"
Whitehorse City Council,"74,200","79,000"
Manningham City Council,"51,000","39,000"
Monash City Council,"78,300","72,000"
Glen Eira City Council,"68,000","65,000"
Bayside City Council,"44,100","31,000"
Kingston City Council,"69,100","59,000"
Yarriambiack Shire Council,"3,600",300
Hindmarsh Shire Council,"3,100",200
Horsham Shire Council,"9,800","3,100"
Northern Grampians Shire Council,"6,300",700
Pyrenees Shire Council,"4,000","1,200"
Moorabool Shire Council,"16,300","19,100"
Hepburn Shire Council,"9,700","3,000"
Central Goldfields Shire Council,"7,100","1,600"
Loddon Shire Council,"4,300",500
Campaspe Shire Council,"18,100","4,200"
Greater Bendigo City Council,"54,900","37,500"
Mount Alexander Shire Council,"10,400","4,300"
Macedon Ranges Shire Council,"21,300","12,700"
Strathbogie Shire Council,"6,300","2,300"
Greater Shepparton City Council,"29,600","14,500"
Moira Shire Council,"15,200","4,300"
Murrindindi Shire Council,"8,600","3,200"
Wodonga City Council,"18,900","14,400"
Towong Shire Council,"3,200",500
Indigo Shire Council,"8,000","3,000"
Wangaratta Rural City Council,"14,000","5,700"
Benalla Rural City Council,"7,400","1,600"
Mansfield Shire Council,"6,900","3,700"
Alpine Shire Council,"7,400","1,700"
East Gippsland Shire Council,"26,800","10,500"
Wellington Shire Council,"24,100","7,600"
Baw Baw Shire Council,"25,800","24,700"
Bass Coast Shire Council,"30,100","18,500"
Colac Otway Shire Council,"12,700","3,500"
Surf Coast Shire Council,"21,600","7,800"
Borough of Queenscliffe Council,"3,000",800
Greater Geelong City Council,"127,300","139,800"
Southern Grampians Shire Council,"8,400","1,200"
Glenelg Shire Council,"10,300","1,300"
Moyne Shire Council,"8,700","2,800"
Warrnambool City Council,"16,400","6,900"
Corangamite Shire Council,"8,000","1,300"
